ta_name,year_period,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19
Whangarei District,2023-2024,1602640.1638231464,32370.6328125,,7645965.172363281,770661.02254519,8074.71435546875,3331487.760943244,583112.7348632812,486639.423828125,2.733657612427869E8,1337843.1337890625,9983586.610625383,1.0024836521386718E7,402191.9750938266,1.5279034070969285E7,6073805.397340303,1.934675387660271E7,4.0610090073533244E7,2.6918304613587625E7,7623815.767244944
Kaipara District,2023-2024,1109312.3106234681,613566.9360351562,403849.8270775889,9882778.066052007,3746283.0403837305,233668.00146484375,2212865.7517501535,496341.7526060815,7254856.856223192,1.3792546908641428E8,528454.6691712623,2.276326264997702E7,2.315698294782284E7,295117.38211358764,1.990310116191598E7,5100466.287819777,4.633956833728937E7,4.0492544930989586E7,3.739873284934322E7,6428583.008450137
Auckland,2023-2024,2445195.8813476562,288759.3037109375,544063.8491210938,1.7368683426275276E7,6767628.090125229,624004.62109375,6814652.306640625,1627822.8803710938,4747598.193263633,3.891996827088311E7,1217290.1284179688,2.2501984680328965E7,1.9918126050300628E7,1456382.2099609375,1.5713587531414675E7,8031987.695678232,1.8279155236081112E7,2.6782252058610983E7,2.768946345762676E7,8009517.142970664
Waitaki District,2023-2024,3.759383780045764E7,2862340.140625,5967845.396218214,7.515802463313994E7,4315269.834262025,1867479.8718730852,5.0880321400386795E7,2486634.185678998,205329.7918983609,21147.36376953125,5835046.08332376,8389890.798579197,4263410.412082567,8843102.076060815,2141853.046875,5.068649864972235E7,1.2813023664123581E8,778611.556640625,5.426735322719631E7,4296838.437432981
Central Otago District,2023-2024,4.324569758519071E7,4027570.2874578736,2390453.1645507812,7.315550874126072E7,5091036.662597656,1392065.25,1.574331892265625E8,1412067.6796875,1380896.9453125,14080.20068359375,2945542.8159179688,1764318.2216796875,3833910.2017807905,4186254.8715820312,2787354.3149414062,5.307409073988013E7,6.777353969091797E7,1510078.3798828125,5.612674891550628E7,4067346.4736328125
Queenstown-Lakes District,2023-2024,1.1710339121572457E7,2515966.37109375,3187320.997424556,1.614998096344401E7,797372.552734375,3498044.814453125,3494966.2739257812,691163.2138671875,1875098.5986328125,21469.29541015625,1566385.0776367188,5490724.108886719,4422400.528787531,2007048.380859375,989240.7319335938,6557062.990337776,1861950.2504882812,156477.09765625,6104780.4248046875,1032911.6108398438
Dunedin City,2023-2024,3.908071451433632E7,2708524.539054841,664460.5336914062,5.396627857368641E7,1375976.4814453125,775622.504162837,3.252944525400008E7,983225.6277592678,224487.33846507352,,409164.859375,1.0772248820827588E7,1865897.4684780943,1714264.6982421875,1770285.2761010262,2.5362618757961858E7,1.1304388713394225E7,182160.2392578125,2.3717056560096893E7,1314211.880859375
Clutha District,2023-2024,1.84263995222302E8,2.667466680722656E7,388129.80419921875,1.213035867898246E8,471608.6852060355,1.0855408412635952E7,2801445.34827091,187650.287109375,3122654.7084960938,13913.73046875,2513700.3618049175,3.2987757142949603E7,5813032.082835478,,152518.93701171875,5.2409092573908545E7,3.498666892985218E7,125110.86328125,7.307211444189644E7,2317577.9430338545
Southland District,2023-2024,5.361695845473269E8,7.224522962114736E7,1408122.841796875,2.4989475563173255E8,798790.0263671875,2.907340551620711E7,4214609.704589844,647151.4829101562,1106361.087768076,6889.71337890625,2839011.0007659313,2.76938498013691E7,1.6256864749025352E7,76525.66943359375,417411.4716796875,1.1474512353107384E8,3.493451726032284E7,118277.1357421875,1.3354501680259843E8,2851357.9360351562
Gore District,2023-2024,7.173052270596659E7,7617022.399103859,111028.95458984375,3.392171799150774E7,41635.5595703125,1188017.9837067248,458074.2177734375,6953.1943359375,6919.2890625,,1042536.3948127298,2158072.9544136794,527611.7202378217,,41596.583984375,1.9654520669626992E7,580379.3268841911,,1.4310301742118567E7,194209.61474609375
