ta_name,year_period,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9
Hauraki District,2023-2024,2883168.6189395683,174708.94091796875,1.002567725536152E7,7145447.601485905,817793.6014476103,437112.86377527576,5501555.1965245865,1465635.2276252299,9317394.232377835,1.761526693337163E7
Waikato District,2023-2024,1.893312353456648E7,1393230.9965820312,4.948885126873086E7,5.52810790014457E7,5416362.316967295,1587351.7407226562,3.3350094876752067E7,7468251.677912454,7.678126624910194E7,7.4727237766232E7
Matamata-Piako District,2023-2024,9995861.806357231,1635453.7612304688,1.8554020118656173E7,1.2198474434087776E7,1201251.2104492188,672495.6206054688,4140051.8449371937,1407116.86328125,2.045745973706342E7,2.2026340200844437E7
Hamilton City,2023-2024,340392.5281977635,15781.888671875,790381.9351543352,1344811.121285233,223513.8977424173,,481407.1604568781,70985.48291015625,885023.7139935662,918716.1280005362
Waipa District,2023-2024,1124297.1855219824,179672.45003063726,7415492.373408778,1.231514611741728E7,582499.0532226562,94410.583984375,5295776.377110141,739884.8168945312,1.3564354091212854E7,1.5843285279787071E7
Ōtorohanga District,2023-2024,2455384.20741613,407348.3955269608,3257576.2191272215,9622500.954919193,1288654.4158222273,1046677.0167911305,4756183.541925169,1842589.2041073071,7193425.402977558,6370456.8233360145
South Waikato District,2023-2024,1.2564453925078508E7,3910967.1376953125,2.6657314312886797E7,4.229540346250765E7,6619286.080926395,1670864.9013671875,2.4314114260987286E7,1.6218249790063955E7,1.3205471852422258E7,1.0969789114231005E7
Waitomo District,2023-2024,4842092.338495711,758933.2796166514,2295691.3267922793,1.1758211097771138E7,2891949.583189721,984516.2890625,9575849.85753102,1139299.4346354166,8326612.841722197,6656876.1005859375
Taupo District,2023-2024,3.3494378324900433E7,1.645655093874847E7,9.051904968456458E7,1.7888465709137943E8,3.2668170363470815E7,1.8902633818121936E7,5.071603400628255E7,2.074795986679496E7,2.7544011741482846E7,3.2035859539363127E7
Western Bay of Plenty District,2023-2024,1.3609021664468443E7,3444534.1334922644,3.1045621024107687E7,1.6101163231167661E7,2224057.438884421,1599887.6653282016,8031511.471899893,3518438.688415288,1495680.2352922028,6391217.2624406405
Tauranga City,2023-2024,499421.00306755514,61189.8463292739,1647979.51194087,576261.0166992188,514877.91578967526,43991.97435853247,706410.6751608455,104149.72045802696,26718.781102558212,368396.08785615815
Rotorua District,2023-2024,8796589.482460173,3633061.084794347,2.8763035242354088E7,3.357712522962814E7,9823635.928864125,1033291.7445006127,2.466491010315755E7,7944256.08048407,3664078.6774509805,2.040674267989047E7
Whakatane District,2023-2024,3.454375910231502E7,7734381.9609375,9.479350239383425E7,7.003975525851332E7,7456789.467128141,5109445.113388481,2.4304073199067473E7,1.244575838875613E7,3353077.2141314335,8006530.92035654
Kawerau District,2023-2024,7859.15869140625,88615.52464767157,235583.26214001226,537375.5742283241,7859.06396484375,,141458.59130859375,128645.0828929228,,25641.33212124694
Ōpōtiki District,2023-2024,5662015.047995174,5010939.012057675,3245779.001311658,6202491.504394531,425586.90185546875,539212.4554630055,2809961.7373046875,968584.287109375,535835.28515625,267948.63916015625
Gisborne District,2023-2024,1.3466140887057675E7,4452944.080796186,4.273208789937002E7,1.671059130911956E8,1.710283734742264E7,4520048.755369179,6.20435216514591E7,6051647.39235026,1.6330657231445312E7,5.81854194776348E7
Hastings District,2023-2024,2.6094474830296416E7,4776661.313332951,4.387234940458602E7,9.230662209420764E7,1.8438960924482998E7,5935841.485619638,4.6327586768324727E8,9156309.00486558,7196726.172210095,3.171857952769225E7
Napier City,2023-2024,460667.51131855085,465498.80590533087,1194640.0718137254,1836593.2133674172,411886.37774394907,385375.04541015625,6091972.97524318,446735.68701171875,107823.8359375,505584.6374387254
Central Hawke's Bay District,2023-2024,2.0853297157768454E7,1301342.4549977023,4.736796816491076E7,7.910267627911113E7,4939279.074927236,429507.63398820464,2.6651470155729544E8,2.4222956205855545E7,8123016.7266142005,2.6923567848481547E7
Wairoa District,2023-2024,1.3047711120496323E7,1669753.0952148438,1.0161090228433289E7,3.754246328308632E7,4750725.712402344,3708754.34291322,2.597339524790709E7,2824166.2768554688,3879635.7353515625,5284770.330078125
Tasman District,2023-2024,2.0387192578642003E7,1.5386581280273438E7,7227897.865234375,1.1958534873967141E8,4914614.497558594,2927309.408203125,3.630239784765625E7,7097248.444824219,1973889.6494140625,5112016.7998046875
Nelson City,2023-2024,2874566.673757277,695285.2106158088,458361.61376953125,4074971.7933746935,735924.5358226104,219450.1533203125,3041487.5472732843,105164.353515625,30072.23388671875,45071.14306640625
Marlborough District,2023-2024,8125789.263677619,3532655.262321921,8648928.991210938,4.977850553249253E8,5934141.248064108,194154.12109375,7.609733215069892E7,2.7181928793640856E7,2374390.483072917,8693311.086713005
Kaikoura District,2023-2024,1770453.9799804688,2589751.6943359375,724941.576171875,1.027134084108456E7,1019410.1080499387,59198.0595703125,7436990.70557981,8544944.343416821,1751492.1017673868,9917251.106696155
Far North District,2023-2024,1.1723013239523973E7,782504.15234375,6924048.883300781,8.282815319904642E7,7141365.212597657,392367.27289560356,6.516774343697534E7,2.929053161367762E7,4.379638326200789E7,3.538761423730526E8
Whangarei District,2023-2024,6045968.424538527,429758.85595703125,1.0493927126097197E7,2.7628146022409234E7,3923011.4423808977,145891.5048828125,3.867504408747894E7,5985797.779141774,1.3417197568623621E7,3.1868223209698415E8
Kaipara District,2023-2024,4824678.349140242,1633326.6073510265,5958958.3209118415,6.1595263430702366E7,8571028.50777612,1048651.7129940258,4.4298880610361144E7,1.2585965113139555E7,3.574827293649472E7,1.9002078026465225E8
Auckland,2023-2024,9164821.891113281,3809432.1381835938,9380392.755014936,3.867402822639208E7,1.2206913547876455E7,1727353.27896178,3.693194874035309E7,1.0915477303222656E7,2.452287892514744E7,8.241487620795803E7
Waitaki District,2023-2024,8.668829231173791E7,1.7466345324831493E7,1.822923324457912E7,1.9602632333236635E8,6907002.876434207,6301882.838512945,6.860289141556181E7,4.537356176959444E7,2464309.9875727636,931228.2462679994
Central Otago District,2023-2024,1.0103955832358494E8,9857606.0859375,9400037.198362822,1.529209730043007E8,9421714.126464844,1.156608652344133E7,1.4611544539453125E8,4.229165266699219E7,3357218.3779296875,1641458.6674804688
Queenstown-Lakes District,2023-2024,2.182306380673445E7,2917471.98828125,8043210.853326057,1.0675422461979166E7,1387119.7958984375,9138374.212197457,4514819.614746094,1.0567158600543812E7,4051798.9626838234,1012263.1083984375
Dunedin City,2023-2024,7.952702806813917E7,1.0986074040096506E7,2368870.4576497395,5.8910058083903946E7,3893907.53125,7969223.335903033,2.7675979729733456E7,1.788160385043084E7,740702.6505342373,767584.8935546875
Clutha District,2023-2024,2.8527456990964884E8,3.544628213265549E7,7837057.085426241,1.1329470583504903E8,2017351.538292739,7.547543485335477E7,2.3920822198567707E7,1449478.6791992188,8177018.979423254,1567911.8606962317
Southland District,2023-2024,7.524265207389611E8,1.140732478946787E8,1.382703471384421E7,1.2701590307883924E8,5557218.74883387,1.7388448964081076E8,2.797933315905331E7,7440309.939453125,4703345.253515624,2135452.36328125
Gore District,2023-2024,1.0117654024354513E8,1.4642214462823605E7,3006668.5971047794,9254275.404478785,173403.41748046875,2.0147974107929304E7,2820403.0654603248,1070109.8657226562,575230.5906881893,724301.5472081802
Invercargill City,2023-2024,1.4103005935227098E7,2553885.4729817705,48248.482421875,751066.9091796875,254840.3671875,3410475.502694164,459212.49676393997,20662.96337890625,213446.6357421875,41312.20849609375
New Plymouth District,2023-2024,1094222.2457567402,850921.8640299479,1361308.018324908,6324246.769718903,724004.116697304,617295.013103171,3366057.3562768074,23215.55810546875,4208208.982033165,9607016.227389704
Stratford District,2023-2024,1969646.8665690103,386243.7080078125,2162858.895969286,1.0796639072122013E7,942576.4586014093,592332.1435317094,7915529.740251608,30899.1220703125,4848269.167480469,5838739.483159084
